date,action,ticker,security,reason
2015-07-02,remove,ATI,Allegheny Technologies,Spin off of Columbia Pipeline.[169]
2015-07-06,add,KHC,Kraft Heinz,Kraft merger with Heinz.[168]
2015-07-06,remove,KRFT,Kraft Foods,Kraft merger with Heinz.[168]
2015-07-08,add,AAP,Advance Auto Parts,Family Dollar acquired.[167]
2015-07-08,remove,FDO,Family Dollar,Family Dollar acquired.[167]
2015-07-20,add,PYPL,PayPal,PayPal Spun off by eBay[166]
2015-07-20,remove,NE,Noble Corporation,PayPal Spun off by eBay[166]
2015-07-29,add,SIG,Signet Jewelers,DirecTV acquired by AT&T.[165]
2015-07-29,remove,DTV,DirecTV,DirecTV acquired by AT&T.[165]
2015-08-28,add,ATVI,Activision Blizzard,Pall taken over[164]
2015-08-28,remove,PLL,Pall Corporation,Pall taken over[164]
2015-09-02,add,UAL,United Continental Holdings,Hospira taken over[164]
2015-09-02,remove,HSP,Hospira,Hospira taken over[164]
2015-09-18,add,CMCSK,Comcast Class K Special,Share class methodology change[2]
2015-09-18,add,FOX,Twenty-First Century Fox Class B,Share class methodology change
2015-09-18,add,NWS,News Corporation Class B,Share class methodology change
2015-10-07,add,VRSK,Verisk Analytics,Market capitalization change.[163]
2015-10-07,remove,JOY,Joy Global,Market capitalization change.[163]
2015-11-02,add,HPE,Hewlett Packard Enterprise,HPQ spins off HPE[162]
2015-11-02,remove,HCBK,Hudson City Bancorp,HPQ spins off HPE[162]
2015-11-18,add,SYF,Synchrony Financial,GE spinning off Synchrony Financial[161]
2015-11-18,remove,GNW,Genworth Financial,GE spinning off Synchrony Financial[161]
2015-11-19,add,ILMN,Illumina,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[160]
2015-11-19,remove,SIAL,Sigma-Aldrich,Sigma-Aldrich acquired by Merck KGaA (MKGAY)[160]
2015-12-01,add,CSRA,CSRA,CSC spins off CSRA[159]
2015-12-01,remove,CSC,Computer Sciences Corporation,CSC spins off CSRA[159]
